transcript	gene_id	gene_name	sample1	sample2	fold_change	direction	total_fpkm	q-value	gene_description
TCONS_00058652	XLOC_028153	-	Pre	Post	1.36	DOWN	19.25	0.774595	
TCONS_00073760	XLOC_035100	tRNA-Pseudo	Pre	Post	1.15	UP	19.25	0.914375	
CUFF.1951.3	CGI_10017469	.	Pre	Post	1.60	UP	19.24	0.827223	
CUFF.7253.1	CGI_10028298	.	Pre	Post	1.99	DOWN	19.24	0.531164	
EKC21765	CGI_10003320	.	Pre	Post	1.34	DOWN	19.24	0.949109	
EKC24833	CGI_10010800	.	Pre	Post	1.72	DOWN	19.24	0.747801	
EKC34808	CGI_10016396	.	Pre	Post	19.13	DOWN	19.24	0.779832	
TCONS_00059246	XLOC_028437	-	Pre	Post	7.07	DOWN	19.24	0.0127885	
CUFF.17933.9	CGI_10005185	.	Pre	Post	1.40	UP	19.23	0.898297	
CUFF.21125.1	CGI_10012368	.	Pre	Post	2.11	DOWN	19.23	0.714254	
EKC31617	CGI_10010732	.	Pre	Post	1.55	DOWN	19.23	0.852334	
TCONS_00001115	XLOC_000960	-	Pre	Post	1.35	DOWN	19.23	0.912566	
TCONS_00044142	XLOC_021674	-	Pre	Post	1.64	DOWN	19.23	0.778013	
EKC20307	CGI_10006312	.	Pre	Post	1.32	DOWN	19.22	0.748855	
EKC27888	CGI_10022672	.	Pre	Post	1.88	UP	19.22	0.678649	
TCONS_00021167	XLOC_010685	-	Pre	Post	1.60	UP	19.22	0.770009	
TCONS_00046462	XLOC_022758	-	Pre	Post	1.04	UP	19.22	0.987006	
CUFF.18529.1	CGI_10006020	.	Pre	Post	1.36	UP	19.21	0.831337	
CUFF.635.1	CGI_10000494	.	Pre	Post	1.56	UP	19.21	0.726658	
TCONS_00032648	XLOC_015887	-	Pre	Post	1.17	UP	19.21	0.907766	
TCONS_00068636	XLOC_032770	-	Pre	Post	1.84	UP	19.21	0.677882	
CUFF.2118.1	CGI_10022043	.	Pre	Post	1.24	UP	19.20	0.82659	
CUFF.26446.1	CGI_10027982	.	Pre	Post	1.72	DOWN	19.20	0.662846	
CUFF.11357.2	CGI_10018678	.	Pre	Post	2.00	UP	19.19	0.634463	
CUFF.15571.1	CGI_10019517	.	Pre	Post	2.24	DOWN	19.19	0.260114	
CUFF.2001.1	CGI_10015743	.	Pre	Post	1.75	DOWN	19.19	0.714254	
CUFF.25284.2	CGI_10021424	.	Pre	Post	1.25	DOWN	19.19	0.828719	
CUFF.28414.1	CGI_10027674	.	Pre	Post	3.21	DOWN	19.19	0.0180341	
CUFF.4042.2	CGI_10024254	.	Pre	Post	2.27	UP	19.19	0.714254	
TCONS_00024095	XLOC_012115	-	Pre	Post	1.17	DOWN	19.19	0.864017	
CUFF.25261.2	CGI_10017861	.	Pre	Post	2.96	DOWN	19.18	0.726658	
EKC20618	CGI_10005732	.	Pre	Post	6.05	DOWN	19.18	0.0975449	
TCONS_00045401	XLOC_022251	-	Pre	Post	7.38	DOWN	19.18	0.672589	
TCONS_00063708	XLOC_030462	-	Pre	Post	2.11	DOWN	19.18	0.683514	
CUFF.11559.3	CGI_10012210	.	Pre	Post	1.86	UP	19.17	0.714254	
EKC27126	CGI_10013259	.	Pre	Post	4.98	DOWN	19.17	0.742357	
EKC28520	CGI_10015865	.	Pre	Post	1.77	UP	19.17	0.734836	
TCONS_00011851	XLOC_006177	-	Pre	Post	1.80	UP	19.17	0.741645	
CUFF.27897.4	CGI_10022854	.	Pre	Post	2.83	UP	19.16	0.749284	
TCONS_00018762	XLOC_009599	CGI_10026517	Pre	Post	1.74	UP	19.16	0.726658	
TCONS_00062937	XLOC_030102	-	Pre	Post	1.01	DOWN	19.16	0.985533	
CUFF.18663.6	CGI_10006206	.	Pre	Post	1.79	DOWN	19.15	0.726658	
TCONS_00000179	XLOC_000177	-	Pre	Post	1.60	UP	19.15	0.726658	
TCONS_00014412	XLOC_007419	CGI_10005446	Pre	Post	2.20	UP	19.15	0.726658	
CUFF.12643.4	CGI_10025135	.	Pre	Post	2.57	DOWN	19.14	0.839567	
CUFF.12772.2	CGI_10027909	.	Pre	Post	1.26	DOWN	19.14	0.934108	
CUFF.15640.9	CGI_10017631	.	Pre	Post	1.39	UP	19.14	0.886149	
TCONS_00047695	XLOC_023319	CGI_10028395	Pre	Post	44840.99	UP	19.14	0.726658	
CUFF.14731.5	CGI_10001451	.	Pre	Post	1.35	UP	19.13	0.862894	
CUFF.24853.3	CGI_10017270	.	Pre	Post	1.16	UP	19.13	0.892559	
EKC33108	CGI_10024009	.	Pre	Post	1.72	UP	19.13	0.805071	
TCONS_00029810	XLOC_014643	tRNA-Ser	Pre	Post	1.22	UP	19.13	0.917883	
EKC37709	CGI_10020463	.	Pre	Post	1.46	UP	19.12	0.726658	
CUFF.13143.3	CGI_10005568	.	Pre	Post	1.29	UP	19.11	0.813421	
CUFF.23974.1	CGI_10020494	.	Pre	Post	1.97	DOWN	19.11	0.354567	
EKC18909	CGI_10010572	.	Pre	Post	1.95	DOWN	19.11	0.854096	
EKC27974	CGI_10017294	.	Pre	Post	5.12	DOWN	19.11	0.839567	
TCONS_00000406	XLOC_000388	-	Pre	Post	1.33	UP	19.11	0.839567	
TCONS_00017918	XLOC_009179	-	Pre	Post	5.13	DOWN	19.11	0.761488	
CUFF.9855.10	CGI_10016921	.	Pre	Post	4.88	UP	19.10	0.681829	
EKC40956	CGI_10028680	.	Pre	Post	2.94	UP	19.10	0.804643	
TCONS_00023619	XLOC_011875	CGI_10014870	Pre	Post	1.41	DOWN	19.10	0.742298	
CUFF.2087.2	CGI_10010180	.	Pre	Post	3.86	DOWN	19.09	0.635053	
CUFF.14581.5	CGI_10022970	.	Pre	Post	1.33	UP	19.08	0.905898	
CUFF.24681.2	CGI_10025778	.	Pre	Post	1.13	DOWN	19.08	0.950055	
CUFF.6215.1	CGI_10001354	.	Pre	Post	2.29	UP	19.08	0.366829	
TCONS_00023180	XLOC_011689	-	Pre	Post	20.61	UP	19.08	0.717812	
EKC38769	CGI_10020445	.	Pre	Post	1.19	DOWN	19.07	0.869729	
TCONS_00034084	XLOC_016595	-	Pre	Post	1.84	DOWN	19.07	0.872186	
TCONS_00041816	XLOC_020593	-	Pre	Post	84.64	DOWN	19.07	0.683515	
TCONS_00059172	XLOC_028397	CGI_10022466	Pre	Post	1.86	UP	19.07	0.721098	
CUFF.19597.1	CGI_10007999	.	Pre	Post	1.31	DOWN	19.06	0.790191	
CUFF.21213.6	CGI_10012776	.	Pre	Post	1.41	UP	19.06	0.860267	
CUFF.28477.2	CGI_10015458	.	Pre	Post	15.99	DOWN	19.06	0.726658	
CUFF.4968.2	CGI_10027759	.	Pre	Post	1.04	UP	19.06	0.975256	
CUFF.7791.2	CGI_10025849	.	Pre	Post	1.95	UP	19.06	0.900091	
EKC34746	CGI_10021730	.	Pre	Post	4.59	DOWN	19.06	0.314162	
EKC34838	CGI_10010702	.	Pre	Post	1.50	UP	19.06	0.81881	
EKC42379	CGI_10005753	.	Pre	Post	1.36	UP	19.06	0.858735	
TCONS_00060324	XLOC_028927	CGI_10009385	Pre	Post	2.83	DOWN	19.06	0.656677	
CUFF.21048.1	CGI_10012024	.	Pre	Post	1.01	DOWN	19.05	0.989504	
TCONS_00020408	XLOC_010332	-	Pre	Post	2.57	UP	19.05	0.469003	
TCONS_00039792	XLOC_019560	-	Pre	Post	2.08	DOWN	19.05	0.769739	
TCONS_00071993	XLOC_034320	-	Pre	Post	1.79	UP	19.05	0.872927	
CUFF.12789.1	CGI_10027926	.	Pre	Post	1.10	DOWN	19.04	0.91868	
CUFF.1851.8	CGI_10021676	.	Pre	Post	1.33	DOWN	19.04	0.887989	
TCONS_00052846	XLOC_025552	CGI_10009615	Pre	Post	1.14	UP	19.04	0.894817	
CUFF.14767.3	CGI_10025710	.	Pre	Post	1.14	DOWN	19.03	0.939056	
CUFF.15683.3	CGI_10002509	.	Pre	Post	4.55	DOWN	19.02	0.20401	
TCONS_00013202	XLOC_006811	CGI_10000691	Pre	Post	1.66	UP	19.02	0.726658	
CUFF.11208.12	CGI_10009315	.	Pre	Post	1.62	DOWN	19.01	0.7544	
CUFF.8673.1	CGI_10015208	.	Pre	Post	4.23	UP	19.01	0.451836	
TCONS_00056335	XLOC_027057	-	Pre	Post	4.15	UP	19.01	0.510052	
CUFF.1516.10	CGI_10025034	.	Pre	Post	1.02	UP	19.00	0.98198	
CUFF.22400.8	CGI_10024157	.	Pre	Post	4946.30	DOWN	19.00	0.75227	
CUFF.28650.2	CGI_10019239	.	Pre	Post	3.81	UP	19.00	0.600449	
CUFF.12859.3	CGI_10020052	.	Pre	Post	1.33	UP	18.99	0.769567	
CUFF.2274.4	CGI_10012680	.	Pre	Post	1.81	UP	18.99	0.751949	
EKC23427	CGI_10006622	.	Pre	Post	2.40	DOWN	18.99	0.761694	
CUFF.18216.4	CGI_10005676	.	Pre	Post	1.37	UP	18.98	0.737102	
CUFF.27411.6	CGI_10022245	.	Pre	Post	2.35	DOWN	18.98	0.726658	
EKC19027	CGI_10009971	.	Pre	Post	1.74	DOWN	18.98	0.726658	
TCONS_00031772	XLOC_015476	-	Pre	Post	1.70	UP	18.98	0.726658	
CUFF.16991.3	CGI_10003908	.	Pre	Post	27.04	UP	18.97	0.737749	
CUFF.25603.2	CGI_10024772	.	Pre	Post	1.43	DOWN	18.97	0.835962	
EKC39199	CGI_10024604	.	Pre	Post	1.28	DOWN	18.97	0.959306	
TCONS_00020387	XLOC_010322	CGI_10013047	Pre	Post	21.96	UP	18.97	0.726658	
CUFF.18789.1	CGI_10006362	.	Pre	Post	3.25	UP	18.96	0.70236	
CUFF.4943.2	CGI_10027733	.	Pre	Post	2.53	DOWN	18.96	0.726658	
EKC39516	CGI_10027926	.	Pre	Post	1.60	DOWN	18.96	0.799182	
TCONS_00054386	XLOC_026232	-	Pre	Post	2.39	DOWN	18.96	0.644518	
CUFF.1410.2	CGI_10020264	.	Pre	Post	1.80	DOWN	18.95	0.64504	
EKC30933	CGI_10022504	.	Pre	Post	3.31	DOWN	18.95	0.726658	
EKC31369	CGI_10019228	.	Pre	Post	2.77	DOWN	18.95	0.737749	
CUFF.22394.3	CGI_10024151	.	Pre	Post	1.61	UP	18.94	0.760564	
EKC33510	CGI_10022002	.	Pre	Post	1.07	DOWN	18.94	0.972864	
EKC38639	CGI_10010574	.	Pre	Post	2.25	DOWN	18.94	0.478736	
TCONS_00030039	XLOC_014747	-	Pre	Post	1.80	UP	18.94	0.762306	
TCONS_00037558	XLOC_018415	-	Pre	Post	20.30	DOWN	18.94	0.078923	
CUFF.11714.14	CGI_10023704	.	Pre	Post	1.02	DOWN	18.93	0.980701	
CUFF.14715.3	CGI_10012243	.	Pre	Post	1.13	UP	18.93	0.911351	
CUFF.22167.1	CGI_10010580	.	Pre	Post	2.53	UP	18.93	0.726658	
CUFF.24967.2	CGI_10005750	.	Pre	Post	2.76	DOWN	18.93	0.311659	
CUFF.5415.1	CGI_10012980	.	Pre	Post	1.62	DOWN	18.93	0.714254	
EKC20097	CGI_10006847	.	Pre	Post	1.08	DOWN	18.93	0.939653	
CUFF.11667.1	CGI_10015551	.	Pre	Post	7.48	UP	18.92	0.217926	
CUFF.23807.1	CGI_10020556	.	Pre	Post	1.73	UP	18.92	0.714254	
EKC31037	CGI_10025038	.	Pre	Post	1.37	UP	18.92	0.933812	
TCONS_00024676	XLOC_012385	-	Pre	Post	1.09	DOWN	18.92	0.972557	
CUFF.13174.1	CGI_10012635	.	Pre	Post	1.05	UP	18.91	0.961695	
CUFF.20454.2	CGI_10009977	.	Pre	Post	1.22	UP	18.91	0.934173	
CUFF.6241.2	CGI_10003665	.	Pre	Post	1.86	UP	18.91	0.726658	
CUFF.7808.6	CGI_10015073	.	Pre	Post	1.69	DOWN	18.91	0.758019	
TCONS_00065933	XLOC_031490	tRNA-Pseudo	Pre	Post	1.11	UP	18.91	0.932461	
TCONS_00075387	XLOC_035865	-	Pre	Post	3.34	DOWN	18.91	0.602968	
CUFF.10104.1	CGI_10019931	.	Pre	Post	1.38	DOWN	18.90	0.73137	
CUFF.22379.1	CGI_10024137	.	Pre	Post	1.68	DOWN	18.90	0.726658	
EKC39588	CGI_10017228	.	Pre	Post	1.39	DOWN	18.90	0.779966	
CUFF.14488.2	CGI_10021771	.	Pre	Post	1.01	UP	18.89	0.985901	
CUFF.21363.1	CGI_10014127	.	Pre	Post	1.51	UP	18.89	0.721098	
EKC41810	CGI_10026428	.	Pre	Post	1.31	UP	18.89	0.832712	
TCONS_00028668	XLOC_014179	-	Pre	Post	2.17	DOWN	18.89	0.754161	
CUFF.10221.7	CGI_10016397	.	Pre	Post	1.46	UP	18.88	0.793506	
CUFF.13197.9	CGI_10024581	.	Pre	Post	2.93	UP	18.88	0.609894	
EKC20107	CGI_10006745	.	Pre	Post	2.03	UP	18.88	0.671152	
TCONS_00007951	XLOC_004366	-	Pre	Post	1.17	UP	18.88	0.906282	
TCONS_00044319	XLOC_021743	-	Pre	Post	3.94	DOWN	18.88	0.117817	
TCONS_00052628	XLOC_025438	-	Pre	Post	5.30	DOWN	18.88	0.726658	
CUFF.21389.4	CGI_10014162	.	Pre	Post	2.69	DOWN	18.87	0.846286	
CUFF.27318.1	CGI_10020709	.	Pre	Post	1.17	DOWN	18.87	0.889753	
CUFF.28633.1	CGI_10019212	.	Pre	Post	4.84	UP	18.87	0.0908764	
EKC35649	CGI_10020340	.	Pre	Post	1.14	UP	18.87	0.919466	
CUFF.10789.3	CGI_10015921	.	Pre	Post	2.80	DOWN	18.86	0.73262	
CUFF.12430.1	CGI_10025351	.	Pre	Post	1.65	UP	18.86	0.73262	
EKC23999	CGI_10014242	.	Pre	Post	2.53	DOWN	18.86	0.714254	
CUFF.3585.4	CGI_10025491	.	Pre	Post	1.65	DOWN	18.85	0.808872	
EKC21736	CGI_10003391	.	Pre	Post	1.06	UP	18.85	0.960848	
TCONS_00023272	XLOC_011729	-	Pre	Post	1.13	UP	18.85	0.945058	
CUFF.10416.3	CGI_10002446	.	Pre	Post	1.20	DOWN	18.84	0.93584	
CUFF.15567.2	CGI_10019513	.	Pre	Post	11.37	UP	18.84	0.729064	
CUFF.18937.1	CGI_10006729	.	Pre	Post	2.79	DOWN	18.84	0.727588	
CUFF.1899.3	CGI_10019949	.	Pre	Post	3.27	UP	18.84	0.654858	
CUFF.24718.2	CGI_10015722	.	Pre	Post	7.38	UP	18.83	0.695613	
CUFF.24807.3	CGI_10023435	.	Pre	Post	1.96	DOWN	18.83	0.771481	
CUFF.852.1	CGI_10000869	.	Pre	Post	1.74	UP	18.83	0.770426	
CUFF.22902.2	CGI_10019107	.	Pre	Post	2.02	UP	18.82	0.531164	
CUFF.2708.1	CGI_10021978	.	Pre	Post	2.18	UP	18.81	0.561057	
EKC28010	CGI_10008056	.	Pre	Post	6.00	UP	18.81	0.779893	
TCONS_00073093	XLOC_034803	CGI_10013440	Pre	Post	3.10	DOWN	18.81	0.0948128	
CUFF.21378.1	CGI_10014152	.	Pre	Post	1.30	DOWN	18.80	0.908367	
CUFF.26368.2	CGI_10024000	.	Pre	Post	1.59	DOWN	18.80	0.720791	
CUFF.6169.2	CGI_10025433	.	Pre	Post	4.58	DOWN	18.80	0.726658	
EKC18666	CGI_10011589	.	Pre	Post	3.68	DOWN	18.80	0.373638	
TCONS_00066696	XLOC_031858	-	Pre	Post	2.67	UP	18.80	0.655907	
CUFF.17392.11	CGI_10023211	.	Pre	Post	2.20	UP	18.79	0.881271	
EKC20830	CGI_10005280	.	Pre	Post	2.48	UP	18.78	0.591143	
TCONS_00004600	XLOC_002738	-	Pre	Post	5.07	UP	18.78	0.714254	
TCONS_00059186	XLOC_028403	-	Pre	Post	4.21	DOWN	18.78	0.726658	
CUFF.10431.3	CGI_10011294	.	Pre	Post	1.28	UP	18.77	0.929555	
CUFF.12617.1	CGI_10025109	.	Pre	Post	2.32	DOWN	18.77	0.800551	
CUFF.15197.6	CGI_10002048	.	Pre	Post	1.34	DOWN	18.77	0.848389	
CUFF.7317.2	CGI_10004834	.	Pre	Post	1.14	DOWN	18.77	0.931387	
TCONS_00000093	XLOC_000093	-	Pre	Post	1.32	DOWN	18.77	0.936977	
CUFF.25500.2	CGI_10023297	.	Pre	Post	1.97	DOWN	18.76	0.726658	
EKC42875	CGI_10028842	.	Pre	Post	1.77	UP	18.76	0.726658	
CUFF.14304.7	CGI_10028071	.	Pre	Post	2.30	DOWN	18.75	0.640689	
CUFF.17218.11	CGI_10004091	.	Pre	Post	1.76	DOWN	18.75	0.903841	
TCONS_00010470	XLOC_005506	-	Pre	Post	2.33	DOWN	18.75	0.729948	
CUFF.17244.2	CGI_10004229	.	Pre	Post	1.73	UP	18.74	0.726658	
CUFF.6414.1	CGI_10007785	.	Pre	Post	2.44	DOWN	18.74	0.624703	
EKC33437	CGI_10008410	.	Pre	Post	2.76	UP	18.74	0.50606	
TCONS_00005996	XLOC_003423	-	Pre	Post	1.41	UP	18.74	0.752551	
CUFF.11730.1	CGI_10023719	.	Pre	Post	1.75	UP	18.73	0.640689	
CUFF.12508.3	CGI_10015814	.	Pre	Post	1.67	DOWN	18.73	0.72575	
CUFF.9968.1	CGI_10014557	.	Pre	Post	2.66	DOWN	18.73	0.0636275	
EKC20789	CGI_10005394	.	Pre	Post	8.82	UP	18.73	0.366918	
EKC31638	CGI_10009150	.	Pre	Post	5.77	DOWN	18.72	0.836006	
TCONS_00010693	XLOC_005621	-	Pre	Post	2.30	DOWN	18.72	0.714254	
CUFF.13478.1	CGI_10027280	.	Pre	Post	1.21	DOWN	18.71	0.874167	
EKC25055	CGI_10020969	.	Pre	Post	1.37	UP	18.71	0.810156	
TCONS_00024984	XLOC_012541	-	Pre	Post	3.93	UP	18.71	0.778392	
TCONS_00043107	XLOC_021207	-	Pre	Post	3.20	DOWN	18.71	0.0845389	
CUFF.26230.1	CGI_10017401	.	Pre	Post	10.36	UP	18.70	0.726658	
CUFF.28715.10	CGI_10015855	.	Pre	Post	1.15	UP	18.70	0.930557	
EKC32902	CGI_10011685	.	Pre	Post	1.00	UP	18.70	0.993447	
CUFF.10772.3	CGI_10006428	.	Pre	Post	1.66	UP	18.69	0.890697	
CUFF.1151.1	CGI_10026433	.	Pre	Post	6.95	UP	18.69	0.434912	
CUFF.12899.3	CGI_10003461	.	Pre	Post	1.08	DOWN	18.69	0.9437	
CUFF.15906.1	CGI_10002751	.	Pre	Post	2.19	UP	18.68	0.726658	
TCONS_00058900	XLOC_028282	-	Pre	Post	1.66	DOWN	18.68	0.832923	
CUFF.2173.1	CGI_10004779	.	Pre	Post	3.71	DOWN	18.67	0.257192	
CUFF.25262.2	CGI_10017862	.	Pre	Post	1.36	DOWN	18.67	0.800224	
CUFF.27444.2	CGI_10004936	.	Pre	Post	1.13	UP	18.67	0.946497	
CUFF.9606.2	CGI_10010947	.	Pre	Post	1.27	UP	18.67	0.955718	
TCONS_00075304	XLOC_035832	CGI_10017163	Pre	Post	1.36	DOWN	18.66	0.85427	
EKC41714	CGI_10028461	.	Pre	Post	7.91	DOWN	18.65	0.726658	
EKC42450	CGI_10016364	.	Pre	Post	31.87	DOWN	18.65	0.716644	
TCONS_00003846	XLOC_002377	-	Pre	Post	1.11	UP	18.65	0.922507	
TCONS_00011905	XLOC_006211	-	Pre	Post	2.42	UP	18.65	0.822819	
CUFF.26708.4	CGI_10013693	.	Pre	Post	2.72	DOWN	18.64	0.681829	
CUFF.8095.1	CGI_10010255	.	Pre	Post	22.57	UP	18.64	0.029599	
EKC20078	CGI_10006875	.	Pre	Post	1.19	DOWN	18.64	0.912788	
CUFF.20409.3	CGI_10009922	.	Pre	Post	1.90	UP	18.63	0.726658	
CUFF.3167.1	CGI_10026196	.	Pre	Post	18.31	UP	18.63	0.00719642	
EKC43122	CGI_10022328	.	Pre	Post	3.60	DOWN	18.63	0.0708635	
TCONS_00034349	XLOC_016705	-	Pre	Post	2.65	UP	18.63	0.784773	
EKC34920	CGI_10003089	.	Pre	Post	1.60	UP	18.62	0.766189	
CUFF.10540.1	CGI_10018482	.	Pre	Post	1.31	UP	18.61	0.788184	
CUFF.12165.3	CGI_10026955	.	Pre	Post	1.09	UP	18.61	0.959073	
CUFF.20247.1	CGI_10009627	.	Pre	Post	2.53	UP	18.61	0.726658	
CUFF.26699.3	CGI_10024442	.	Pre	Post	2.12	UP	18.61	0.815019	
TCONS_00015931	XLOC_008201	-	Pre	Post	1.28	UP	18.61	0.821827	
TCONS_00024403	XLOC_012259	-	Pre	Post	2.42	UP	18.61	0.734836	
EKC22373	CGI_10002392	.	Pre	Post	1.27	UP	18.60	0.908243	
TCONS_00047303	XLOC_023134	CGI_10005716	Pre	Post	13.54	UP	18.60	0.726658	
TCONS_00049516	XLOC_024083	-	Pre	Post	1.17	DOWN	18.60	0.948251	
TCONS_00070981	XLOC_033844	-	Pre	Post	1.23	UP	18.60	0.875203	
CUFF.10959.2	CGI_10004667	.	Pre	Post	1.11	UP	18.58	0.937385	
CUFF.4062.7	CGI_10024267	.	Pre	Post	2.77	UP	18.58	0.726658	
CUFF.15090.2	CGI_10022703	.	Pre	Post	1.65	DOWN	18.57	0.726658	
CUFF.7762.1	CGI_10025807	.	Pre	Post	1.86	UP	18.57	0.571301	
CUFF.8214.3	CGI_10008593	.	Pre	Post	1.07	UP	18.57	0.951895	
TCONS_00025240	XLOC_012686	-	Pre	Post	3.76	UP	18.57	0.726658	
TCONS_00053267	XLOC_025734	-	Pre	Post	1.72	UP	18.57	0.795102	
TCONS_00068178	XLOC_032550	-	Pre	Post	1.37	DOWN	18.57	0.726658	
CUFF.20366.5	CGI_10027101	.	Pre	Post	1.24	UP	18.56	0.80461	
EKC36205	CGI_10017056	.	Pre	Post	2.27	UP	18.56	0.830308	
TCONS_00032566	XLOC_015843	CGI_10004958	Pre	Post	1.22	UP	18.56	0.854368	
CUFF.1294.1	CGI_10028762	.	Pre	Post	3.75	UP	18.55	0.747778	
CUFF.13866.2	CGI_10020425	.	Pre	Post	1.78	DOWN	18.55	0.721924	
CUFF.24478.1	CGI_10010457	.	Pre	Post	637.23	DOWN	18.55	0.726658	
CUFF.4672.1	CGI_10025156	.	Pre	Post	1.45	UP	18.54	0.779966	
CUFF.8620.3	CGI_10006145	.	Pre	Post	2.92	UP	18.54	0.832263	
TCONS_00042314	XLOC_020854	-	Pre	Post	1.61	UP	18.54	0.839793	
CUFF.13973.1	CGI_10020815	.	Pre	Post	4.43	UP	18.53	0.758019	
CUFF.18185.1	CGI_10005667	.	Pre	Post	1.24	UP	18.53	0.934608	
CUFF.23861.6	CGI_10018778	.	Pre	Post	1.08	UP	18.53	0.942448	
EKC41550	CGI_10008775	.	Pre	Post	1.32	UP	18.53	0.951646	
TCONS_00045046	XLOC_022089	CGI_10002626	Pre	Post	2.91	UP	18.51	0.772267	
EKC21207	CGI_10004293	.	Pre	Post	2.16	UP	18.50	0.597828	
TCONS_00061205	XLOC_029330	-	Pre	Post	8.85	DOWN	18.50	0.726658	
TCONS_00066230	XLOC_031643	-	Pre	Post	1.49	UP	18.50	0.762157	
EKC39434	CGI_10020037	.	Pre	Post	1.52	UP	18.49	0.81762	
CUFF.12166.1	CGI_10026956	.	Pre	Post	1.06	UP	18.48	0.978724	
CUFF.17301.2	CGI_10023874	.	Pre	Post	1.06	DOWN	18.48	0.953932	
EKC20423	CGI_10006031	.	Pre	Post	2.14	UP	18.48	0.705537	
TCONS_00039246	XLOC_019265	-	Pre	Post	1.83	UP	18.48	0.726053	
CUFF.16332.8	CGI_10003267	.	Pre	Post	1.08	DOWN	18.47	0.954673	
CUFF.7226.5	CGI_10028273	.	Pre	Post	4.55	UP	18.47	0.600449	
EKC36113	CGI_10024837	.	Pre	Post	1.07	UP	18.47	0.965785	
CUFF.11854.2	CGI_10027824	.	Pre	Post	1.70	UP	18.46	0.726658	
CUFF.20089.4	CGI_10009111	.	Pre	Post	2.08	DOWN	18.46	0.816476	
CUFF.4097.1	CGI_10024298	.	Pre	Post	3.38	DOWN	18.46	0.41693	
TCONS_00001227	XLOC_001042	-	Pre	Post	2.86	UP	18.46	0.726658	
TCONS_00004967	XLOC_002905	-	Pre	Post	2.63	UP	18.46	0.434799	
TCONS_00014042	XLOC_007236	-	Pre	Post	5.58	UP	18.46	0.582411	
CUFF.11889.1	CGI_10027861	.	Pre	Post	1.42	DOWN	18.45	0.868012	
CUFF.27608.4	CGI_10026261	.	Pre	Post	3.78	DOWN	18.45	0.714254	
CUFF.6825.6	CGI_10028623	.	Pre	Post	3.06	DOWN	18.45	0.779628	
CUFF.15292.1	CGI_10006952	.	Pre	Post	2.12	UP	18.44	0.829762	
CUFF.27888.1	CGI_10022845	.	Pre	Post	1.49	UP	18.44	0.761844	
CUFF.27981.4	CGI_10018879	.	Pre	Post	2.00	DOWN	18.44	0.727188	
CUFF.4796.1	CGI_10009511	.	Pre	Post	1.21	DOWN	18.44	0.886737	
CUFF.6429.3	CGI_10010114	.	Pre	Post	4.31	DOWN	18.44	0.751949	
CUFF.7185.4	CGI_10028233	.	Pre	Post	1.09	DOWN	18.44	0.916716	
EKC40522	CGI_10022961	.	Pre	Post	1.15	DOWN	18.44	0.912897	
CUFF.2576.2	CGI_10009435	.	Pre	Post	1.54	DOWN	18.43	0.810145	
TCONS_00024559	XLOC_012335	-	Pre	Post	1.24	UP	18.43	0.923567	
TCONS_00042599	XLOC_020986	tRNA-Thr	Pre	Post	2.18	UP	18.43	0.650589	
CUFF.26897.2	CGI_10017149	.	Pre	Post	5.25	DOWN	18.42	0.726658	
TCONS_00012603	XLOC_006505	CGI_10021597	Pre	Post	1.07	DOWN	18.42	0.966584	
TCONS_00073014	XLOC_034762	-	Pre	Post	1.74	UP	18.42	0.726658	
CUFF.11143.5	CGI_10007186	.	Pre	Post	1.08	UP	18.41	0.96876	
CUFF.12495.5	CGI_10025397	.	Pre	Post	1.12	UP	18.41	0.936943	
CUFF.22379.2	CGI_10024137	.	Pre	Post	2.17	DOWN	18.41	0.683514	
CUFF.4102.3	CGI_10011863	.	Pre	Post	1.03	DOWN	18.41	0.979694	
CUFF.1228.2	CGI_10020779	.	Pre	Post	3.29	DOWN	18.40	0.217926	
CUFF.22466.2	CGI_10020229	.	Pre	Post	7.67	UP	18.40	0.575826	
TCONS_00000099	XLOC_000099	-	Pre	Post	2.02	UP	18.40	0.717744	
TCONS_00056209	XLOC_026995	CGI_10014968	Pre	Post	1.48	UP	18.40	0.744345	
TCONS_00073566	XLOC_035033	-	Pre	Post	1.21	UP	18.40	0.950449	
CUFF.5007.2	CGI_10003866	.	Pre	Post	7.25	DOWN	18.39	0.257192	
CUFF.22374.5	CGI_10005366	.	Pre	Post	1.16	DOWN	18.38	0.934494	
CUFF.23571.5	CGI_10009323	.	Pre	Post	2.39	DOWN	18.38	0.714254	
CUFF.25222.5	CGI_10021039	.	Pre	Post	1.52	UP	18.38	0.750046	
CUFF.26698.3	CGI_10024441	.	Pre	Post	10.02	DOWN	18.38	0.0975449	
TCONS_00013059	XLOC_006731	-	Pre	Post	18.97	UP	18.38	0.714254	
TCONS_00055553	XLOC_026757	CGI_10013666	Pre	Post	1.31	UP	18.38	0.922218	
EKC23910	CGI_10015923	.	Pre	Post	1.32	DOWN	18.37	0.856739	
TCONS_00011860	XLOC_006186	-	Pre	Post	2.46	DOWN	18.37	0.585585	
TCONS_00053855	XLOC_026000	CGI_10010624	Pre	Post	1.09	UP	18.37	0.915172	
CUFF.10017.3	CGI_10024364	.	Pre	Post	2.67	DOWN	18.36	0.671943	
CUFF.24800.1	CGI_10023428	.	Pre	Post	1.18	UP	18.36	0.845547	
CUFF.7749.1	CGI_10016867	.	Pre	Post	5.56	DOWN	18.36	0.720499	
