ContigID	GOSlim_bin
contig18163_134562_71857	RNA metabolism
contig181762	transport
contig16663	protein metabolism
contig98715	other biological processes
contig179077	other biological processes
contig81969	developmental processes
contig131269_180473_118320	other biological processes
contig137388_145148	protein metabolism
contig188999	RNA metabolism
contig70775	other metabolic processes
contig176153	developmental processes
contig68891	cell cycle and proliferation
contig14645	other metabolic processes
contig98559	DNA metabolism
contig192438_72141	other metabolic processes
contig73739_209573	protein metabolism
contig145019	other biological processes
contig22060	transport
contig180725	stress response
contig79281	other biological processes
contig155924	other metabolic processes
contig148553	stress response
contig142693	transport
contig115886_211736	other metabolic processes
contig139621	other biological processes
contig58741	other biological processes
contig169236	cell adhesion
contig210291	stress response
contig110151_600232_208240_177858_3926	DNA metabolism
contig203717	developmental processes
contig150174	other metabolic processes
contig177150	other metabolic processes
contig145830_152934_69049_75651	cell cycle and proliferation
contig151477	transport
contig11161	cell organization and biogenesis
contig14604_157044_173526_218216_109514_212740	developmental processes
contig209612_160096	other metabolic processes
contig112611	DNA metabolism
contig99318	RNA metabolism
contig199172	death
contig53933_75484	developmental processes
contig157598	cell adhesion
contig117766	transport
contig74885	cell organization and biogenesis
contig149915	other metabolic processes
contig133115_75374	other biological processes
contig219908_9708	RNA metabolism
contig194257_194476	transport
contig114165_161201_104326	signal transduction
contig213017_219159	death
contig183011	protein metabolism
contig110810	other metabolic processes
contig218663	other metabolic processes
contig169694	DNA metabolism
contig109931_171953	cell cycle and proliferation
contig150921	developmental processes
contig209929	signal transduction
contig205252	DNA metabolism
contig171770	other biological processes
contig154556	other metabolic processes
contig168937	RNA metabolism
contig110565	other biological processes
contig111746	protein metabolism
contig204489	other biological processes
contig212552_93138_218541_209435_26508_201852_107923	protein metabolism
contig72025_182086	RNA metabolism
contig75139	signal transduction
contig71531	RNA metabolism
contig19975_158079	cell organization and biogenesis
contig173780	protein metabolism
contig80575_600049_205604	DNA metabolism
contig80183	cell adhesion
contig8479_167489	other metabolic processes
contig101271	signal transduction
contig117738	other metabolic processes
contig96512_180482_99071_213829	other biological processes
contig171441	protein metabolism
contig25364	RNA metabolism
contig44542_55363_151859	other metabolic processes
contig161069	other biological processes
contig149919	other metabolic processes
contig139154_207108	developmental processes
contig183530	other biological processes
contig210785	cell organization and biogenesis
contig185947	other biological processes
contig212619	other biological processes
contig203651_209700	protein metabolism
contig204509	cell organization and biogenesis
contig151743	cell organization and biogenesis
contig57937	transport
contig204554	other biological processes
contig18711	other biological processes
contig73633	RNA metabolism
contig131910	developmental processes
contig74063	other metabolic processes
contig74026_118651	RNA metabolism
contig81907	stress response
contig132268	other biological processes
contig151835	other metabolic processes
contig151862	death
contig182455_116143_186576_147866	cell adhesion
contig12734	other metabolic processes
contig157630_112916	cell organization and biogenesis
contig182201	developmental processes
contig140174_105238	other biological processes
contig114410	cell cycle and proliferation
contig69032	protein metabolism
contig65928	protein metabolism
contig213356	DNA metabolism
contig10035	cell cycle and proliferation
contig48404_109047	other biological processes
contig182688_157626	cell organization and biogenesis
contig170461	RNA metabolism
contig108648	protein metabolism
contig152525_133323_139160	developmental processes
contig169883	other metabolic processes
contig151779	transport
contig8091	other biological processes
contig152426	cell organization and biogenesis
contig147653_205450	other metabolic processes
contig173290	other biological processes
contig170906	other metabolic processes
contig166968	RNA metabolism
contig211207	other biological processes
contig21560_18587_11843_219906_152942_150549	other biological processes
contig159930	developmental processes
contig116932	signal transduction
contig153451	transport
contig169367	other biological processes
contig147292	cell organization and biogenesis
contig205165	signal transduction
contig160028_176242	other metabolic processes
contig151933	transport
contig194716	other biological processes
contig17290_74568_97598	protein metabolism
contig175637	protein metabolism
contig76653	other biological processes
contig204768	cell cycle and proliferation
contig148580	cell adhesion
contig152817	DNA metabolism
contig211177	other metabolic processes
contig180848	other metabolic processes
contig23344	stress response
contig131124	other biological processes
contig169739	transport
contig74468	protein metabolism
contig116763_157070_112659_181874	other metabolic processes
contig149558	protein metabolism
contig201661_180497	other metabolic processes
contig176046	other biological processes
contig211136_81757_209806	other biological processes
contig159521_73873_171346	RNA metabolism
contig97401	transport
contig3710_113699	signal transduction
contig69665	DNA metabolism
contig54867	developmental processes
contig56958	developmental processes
contig48840	other biological processes
contig69020	DNA metabolism
contig179183	protein metabolism
contig152241	other biological processes
contig98012	other biological processes
contig20243	other metabolic processes
contig107494	transport
contig181181	other biological processes
contig208489	protein metabolism
contig151182_210875_195266	death
contig151983	developmental processes
contig176337	other biological processes
contig169572	other metabolic processes
contig204757	developmental processes
contig108725	protein metabolism
contig171284	developmental processes
contig83042_135178_174757	cell organization and biogenesis
contig125616	other biological processes
contig107100_100361	other metabolic processes
contig209656	signal transduction
contig164219	signal transduction
contig18186_116680	other biological processes
contig24601_81645	developmental processes
contig155842	developmental processes
contig112871_132136	cell organization and biogenesis
contig150157	developmental processes
contig145269	other metabolic processes
contig70329_204894_180464	other biological processes
contig74157	signal transduction
contig108565_69610	cell organization and biogenesis
contig7950	developmental processes
contig600034	transport
contig13260	other metabolic processes
contig210775	protein metabolism
contig179818_20405	death
contig48840	protein metabolism
contig78686	transport
contig146708	signal transduction
contig209217	other biological processes
contig204059_107223	transport
contig149553	cell organization and biogenesis
contig159320_60407	developmental processes
contig211054_178800	other metabolic processes
contig69804_158563	developmental processes
contig151352	transport
contig146606	developmental processes
contig203405	cell adhesion
contig204242	other biological processes
contig11553	other biological processes
contig104364	protein metabolism
contig152742_59077	protein metabolism
contig145217	transport
contig171446_125937	other metabolic processes
contig216438	protein metabolism
contig77926	developmental processes
contig23524_99548	signal transduction
contig66890	stress response
contig99674	signal transduction
contig145497	other metabolic processes
contig17128_66205	DNA metabolism
contig69061	other biological processes
contig115892	developmental processes
contig208367_47315	cell adhesion
contig98763	other biological processes
contig138226	transport
contig14567	protein metabolism
contig173189	other metabolic processes
contig116169	protein metabolism
contig192645	protein metabolism
contig178485	transport
contig117393_98929_190944	other biological processes
contig112236_17856_203844_179786_147848_214133	protein metabolism
contig152525_133323_139160	other metabolic processes
contig178144	protein metabolism
contig81025_104001_57528	transport
contig158233	cell adhesion
contig24474_8625_16301	developmental processes
contig73342_110953_108909_105358	other metabolic processes
contig152807	signal transduction
contig113847_26726_218706_600004	other metabolic processes
contig68573	other biological processes
contig191933_126316	other metabolic processes
contig174510	cell cycle and proliferation
contig13252	death
contig130463_206849_121171	transport
contig111297	other metabolic processes
contig147061	signal transduction
contig176894	other biological processes
contig153269_188860	protein metabolism
contig210187_17884_73723	other metabolic processes
contig116107	developmental processes
contig70295	other biological processes
contig205347_218409	cell organization and biogenesis
contig219276	cell organization and biogenesis
contig179080	developmental processes
contig219113	developmental processes
contig48692_105496	other biological processes
contig108167	other metabolic processes
contig115709	cell-cell signaling
contig204764	signal transduction
contig73292	cell cycle and proliferation
contig14194	other metabolic processes
contig147839	RNA metabolism
contig207997	other biological processes
contig74106	developmental processes
contig148655_158040	signal transduction
contig99477	developmental processes
contig145744	cell adhesion
contig184203	other metabolic processes
contig145295	protein metabolism
contig177192_180426	other metabolic processes
contig203568_74689	signal transduction
contig196105	other biological processes
contig79121	protein metabolism
contig151165	other metabolic processes
contig207009	protein metabolism
contig72998	cell organization and biogenesis
contig153348	death
contig204872_205161	other biological processes
contig147479_118982	protein metabolism
contig97895_7668	developmental processes
contig152268	cell cycle and proliferation
contig115194	protein metabolism
contig113421	cell adhesion
contig24098	signal transduction
contig157528	other metabolic processes
contig23977	developmental processes
contig76285	protein metabolism
contig105733_58792_174316	other biological processes
contig203568_74689	developmental processes
contig19674	other biological processes
contig171424	other biological processes
contig150898	other biological processes
contig23052_600226_7859_118182_107989	DNA metabolism
contig76542_78308	protein metabolism
contig57930_135111_159841	other biological processes
contig600198	other biological processes
contig147205_155780	cell organization and biogenesis
contig70205	cell cycle and proliferation
contig172268	other biological processes
contig107803	protein metabolism
contig108242	signal transduction
contig153257	stress response
contig176218	other metabolic processes
contig178657	developmental processes
contig152909	other metabolic processes
contig178520	other biological processes
contig600168_177501	other biological processes
contig109658	cell organization and biogenesis
contig181071	other metabolic processes
contig176026	signal transduction
contig120134_150612_177584	other biological processes
contig188412	death
contig110277	other biological processes
contig148479	cell organization and biogenesis
contig75238_155841	stress response
contig115194	other biological processes
contig217111	other biological processes
contig178248	signal transduction
contig19073	signal transduction
contig171013	signal transduction
contig78433_204812	protein metabolism
contig185763	signal transduction
contig210066	stress response
contig174543_180477	cell organization and biogenesis
contig60247	stress response
contig69206	other metabolic processes
contig109517	transport
contig187700	cell-cell signaling
contig15356_73356	cell cycle and proliferation
contig150772	protein metabolism
contig23496	protein metabolism
contig165781	other biological processes
contig150879_147331	other biological processes
contig194579_169175	cell organization and biogenesis
contig213533	other metabolic processes
contig148718	cell adhesion
contig82316	signal transduction
contig177961_216012	protein metabolism
contig613	protein metabolism
contig75590	protein metabolism
contig69564_174821	death
contig151357	other biological processes
contig74271	cell cycle and proliferation
contig185529_191220_190171	other biological processes
contig155312	protein metabolism
contig157500_147743_157928	RNA metabolism
contig204982	other metabolic processes
contig75713_132719_110407	protein metabolism
contig195254	protein metabolism
contig213181_23937_8894	developmental processes
contig72717_210113	other metabolic processes
contig146248_201532	cell organization and biogenesis
contig15062_151578_108025	cell adhesion
contig205290	transport
contig178682	other metabolic processes
contig151779	RNA metabolism
contig71988	other biological processes
contig19634	transport
contig115493_213284	RNA metabolism
contig177242	DNA metabolism
contig211170_207857	transport
contig78321	cell cycle and proliferation
contig179074	cell organization and biogenesis
contig148359	cell cycle and proliferation
contig7950	signal transduction
contig147781	transport
contig210345_138890_153234	other biological processes
contig107080	transport
contig217434_174486_119647	other biological processes
contig169272	cell cycle and proliferation
contig73614_600078_190868	other metabolic processes
contig173816_104177	other metabolic processes
contig71596_179613	developmental processes
contig81746	cell organization and biogenesis
contig152652_211066_201937	transport
contig79262_107255	transport
contig139005	cell organization and biogenesis
contig151357	protein metabolism
contig180515	other biological processes
contig189369	cell cycle and proliferation
contig16189	other metabolic processes
contig159067_7771_147515_171491	RNA metabolism
contig81808_107263	cell organization and biogenesis
contig73001	signal transduction
contig145380	cell organization and biogenesis
contig107957	RNA metabolism
contig168042	transport
contig175691	death
contig60714	protein metabolism
contig139033	cell cycle and proliferation
contig75446_169832_130264_115558	signal transduction
contig140480_114567_26540	other metabolic processes
contig20955_170818_93789	protein metabolism
contig80038	protein metabolism
contig150962	other biological processes
contig167080	other metabolic processes
contig152365	RNA metabolism
contig68743_187956	other metabolic processes
contig25661_80037_52223	stress response
contig147167	cell organization and biogenesis
contig219150	cell organization and biogenesis
contig156306	other metabolic processes
contig93851	transport
contig71507	other metabolic processes
contig77513	other metabolic processes
contig75887_148866	protein metabolism
contig169260_112974_110218	signal transduction
contig203568_74689	death
contig108805_58936_110496	cell organization and biogenesis
contig155554_6023_108237	stress response
contig150050_182788	protein metabolism
contig106035	stress response
contig116039_128394_79258	cell organization and biogenesis
contig13252	signal transduction
contig138259	other metabolic processes
contig178804	cell organization and biogenesis
contig170681	other biological processes
contig11555	signal transduction
contig56314	other biological processes
contig130950	other metabolic processes
contig74225	transport
contig196363	other biological processes
contig105756	DNA metabolism
contig78273	DNA metabolism
contig155924	cell organization and biogenesis
contig131594	protein metabolism
contig98595	cell-cell signaling
contig146719	signal transduction
contig204671_151177	developmental processes
contig151759	other metabolic processes
contig145747	cell organization and biogenesis
contig40990	stress response
contig146975	signal transduction
contig119835	other biological processes
contig131729	other biological processes
contig210708	protein metabolism
contig98012	protein metabolism
contig36921	signal transduction
contig76327_211015	signal transduction
contig70724	RNA metabolism
contig146863	stress response
contig169236	developmental processes
contig71988	transport
contig111889_204966_104774_111080	protein metabolism
contig107169_177306_195303	other metabolic processes
contig130526	other metabolic processes
contig149531	cell organization and biogenesis
contig11625	RNA metabolism
contig208245	cell cycle and proliferation
contig203411	cell cycle and proliferation
contig171729	cell organization and biogenesis
contig153411	protein metabolism
contig151277	RNA metabolism
contig23812_113305_98960_148882	transport
contig73086	other biological processes
contig108683	protein metabolism
contig178472	other biological processes
contig115125_182571_216582	DNA metabolism
contig195989	other metabolic processes
contig176369	signal transduction
contig110810	cell organization and biogenesis
contig87383	protein metabolism
contig148483	other biological processes
contig147026	protein metabolism
contig155447	transport
contig128993	signal transduction
contig109856	cell organization and biogenesis
contig68333	protein metabolism
contig3231_169120_70978	cell cycle and proliferation
contig175914_180948	DNA metabolism
contig137238	RNA metabolism
contig100251	other metabolic processes
contig81802_201949	cell organization and biogenesis
contig99435	other biological processes
contig75611	transport
contig147775	other metabolic processes
contig147752_80244	protein metabolism
contig196008_74613_169873	developmental processes
contig151508	signal transduction
contig195387	transport
contig107174_178201	developmental processes
contig112681	other biological processes
contig58571	other metabolic processes
contig59829_169401_176858_131274	cell organization and biogenesis
contig171614	developmental processes
contig214105	protein metabolism
contig210352	protein metabolism
contig122357	protein metabolism
contig82599	other metabolic processes
contig146993	signal transduction
contig68679	developmental processes
contig193047	RNA metabolism
contig68835	RNA metabolism
contig170461	signal transduction
contig138163	other biological processes
contig21722	death
contig171850	developmental processes
contig145295	other biological processes
contig133415_178593	RNA metabolism
contig70392	transport
contig213087_77590	other metabolic processes
contig107100_100361	developmental processes
contig117408	cell organization and biogenesis
contig151701_213390	cell cycle and proliferation
contig75914_77211_8259	transport
contig113724	other biological processes
contig157354_160933_23306_156808	other biological processes
contig17377	transport
contig157913	other biological processes
contig216993_14792_77018	other biological processes
contig76370	cell cycle and proliferation
contig96418	cell organization and biogenesis
contig202154	cell organization and biogenesis
contig58350	cell cycle and proliferation
contig160195	other biological processes
contig82259_105183_181032_112751	other biological processes
contig58151	other metabolic processes
contig23974_72056	developmental processes
contig147007	RNA metabolism
contig179349	cell-cell signaling
contig52831	developmental processes
contig2654	developmental processes
contig71494_109692	other biological processes
contig174602	cell cycle and proliferation
contig8602_188720	cell organization and biogenesis
contig204489	protein metabolism
contig80145	cell organization and biogenesis
contig100067	transport
contig195333_24793	other metabolic processes
contig218342_176819_150000_112665_179111_149349	other biological processes
contig107174_178201	cell organization and biogenesis
contig79100	transport
contig140287	cell cycle and proliferation
contig22312_168764_70408	cell organization and biogenesis
contig69580	RNA metabolism
contig105968	cell organization and biogenesis
contig26132	cell organization and biogenesis
contig205249_180842	RNA metabolism
contig150857	cell-cell signaling
contig104299_209878_600192	other metabolic processes
contig213159	other metabolic processes
contig203743	other biological processes
contig171281	signal transduction
contig180919	death
contig1516_180692	other biological processes
contig17559	protein metabolism
contig47327	signal transduction
contig89705	signal transduction
contig157219	developmental processes
contig107351	RNA metabolism
contig115991_204335	transport
contig104731	signal transduction
contig210668	transport
contig152950	other biological processes
contig176174	protein metabolism
contig98850	DNA metabolism
contig157219	cell organization and biogenesis
contig150252	other biological processes
contig203542	transport
contig107549	cell adhesion
contig182823	other biological processes
contig161227	other biological processes
contig114199	other metabolic processes
contig103056	signal transduction
contig179651	death
contig71347	other metabolic processes
contig210322	other metabolic processes
contig205674_117463	other biological processes
contig153451	cell-cell signaling
contig4568_210021	developmental processes
contig104491_96643	transport
contig202482	other metabolic processes
contig137392_59243	cell cycle and proliferation
contig145199	other biological processes
contig205478	other metabolic processes
contig153005	cell organization and biogenesis
contig16123_129418_128878_156112	signal transduction
contig81802_201949	RNA metabolism
contig145129	developmental processes
contig73117_21916	other metabolic processes
contig80646	stress response
contig108511	other biological processes
contig154284	other biological processes
contig66530	other biological processes
contig214435_77200	cell organization and biogenesis
contig145012	cell cycle and proliferation
contig170256	death
contig8764	transport
contig203411	cell organization and biogenesis
contig110810	RNA metabolism
contig15091_77059_74773_71544_204820_600054	signal transduction
contig203453	protein metabolism
contig111611	cell organization and biogenesis
contig187181	protein metabolism
contig145360	signal transduction
contig75932	other biological processes
contig138416	protein metabolism
contig216132	DNA metabolism
contig105647	protein metabolism
contig170686_149319	signal transduction
contig185983_66637_13329	death
contig71983	other metabolic processes
contig112088	transport
contig202505	signal transduction
contig148651	other biological processes
contig198140_170848_70469	other biological processes
contig212955	cell organization and biogenesis
contig136511_147925	developmental processes
contig80002	death
contig165037	stress response
contig108838_117858	signal transduction
contig115097_170729	DNA metabolism
contig59640	other metabolic processes
contig101271	cell organization and biogenesis
contig145321	RNA metabolism
contig24189	other metabolic processes
contig129771	other metabolic processes
contig137384	protein metabolism
contig203937	transport
contig186562	stress response
contig40990	other biological processes
contig60944_78725	transport
contig74026_118651	signal transduction
contig210631	other biological processes
contig115474	other metabolic processes
contig204741_111402	other metabolic processes
contig98239	cell cycle and proliferation
contig194143	developmental processes
contig192510	other metabolic processes
contig140843_152984	other biological processes
contig150496_194465_153563	other biological processes
contig151904	protein metabolism
contig20389_117923	transport
contig92993	other metabolic processes
contig25792_177711	cell cycle and proliferation
contig49970_205299_79209_16752_153278	transport
contig151590	other biological processes
contig23041_18887_150043_72384_117611	other metabolic processes
contig168860	other biological processes
contig200359	other metabolic processes
contig139172	protein metabolism
contig97061	DNA metabolism
contig205378	stress response
contig65203	RNA metabolism
contig147172_174704	signal transduction
contig195311_194729	other biological processes
contig150955	RNA metabolism
contig98199	other biological processes
contig114416_193872_203924	cell organization and biogenesis
contig219425	protein metabolism
contig151421	other biological processes
contig212697	other biological processes
contig204526	cell cycle and proliferation
contig182344_209692_156646	other biological processes
contig153796	cell organization and biogenesis
contig209053	stress response
contig189414	transport
contig99513	transport
contig183235	transport
contig110085	developmental processes
contig119236	other biological processes
contig199620	other biological processes
contig115777	transport
contig169266	transport
contig194837	cell adhesion
contig144939	transport
contig161025	other metabolic processes
contig147254	cell adhesion
contig139824	other biological processes
contig71785	DNA metabolism
contig140801_116503_151042	cell adhesion
contig176537	other biological processes
contig68409	signal transduction
contig177145	other metabolic processes
contig177291	other biological processes
contig600002	cell cycle and proliferation
contig174602	cell organization and biogenesis
contig97571_181998_117161_70589_140733	other metabolic processes
contig116947	other biological processes
contig177708	other biological processes
contig150019	transport
contig151779	cell-cell signaling
contig181525	DNA metabolism
contig152255	protein metabolism
contig211680_78383_158932_212493_204847	signal transduction
contig93872	stress response
contig169739	other biological processes
contig153236	developmental processes
contig109517	signal transduction
contig180775	cell organization and biogenesis
contig205121	other biological processes
contig177350	cell adhesion
contig80214	other metabolic processes
contig2238	cell adhesion
contig76295	signal transduction
contig204957	developmental processes
contig79851_6457_68563_69741	stress response
contig72564	cell adhesion
contig150891_2650_70570	signal transduction
contig97773	cell cycle and proliferation
contig145037	other metabolic processes
contig19974	other metabolic processes
contig8636_72006_6237_93214	developmental processes
contig104756	transport
contig150116	developmental processes
contig23314	RNA metabolism
contig24168_111861_69144_150942	developmental processes
contig13533	other metabolic processes
contig100347_112826	other metabolic processes
contig66597	DNA metabolism
contig20389_117923	protein metabolism
contig148774	signal transduction
contig97854	signal transduction
contig147509	cell cycle and proliferation
contig97895_7668	stress response
contig97241_97243	other metabolic processes
contig170345	signal transduction
contig78391	protein metabolism
contig185597_187466	cell organization and biogenesis
contig172159	DNA metabolism
contig170228_212502	other biological processes
contig178733	other metabolic processes
contig145266_153552	cell organization and biogenesis
contig81497	cell organization and biogenesis
contig110460_21118	RNA metabolism
contig115709	signal transduction
contig169502	cell organization and biogenesis
contig70751	developmental processes
contig117408	DNA metabolism
contig73428	other biological processes
contig209589	cell cycle and proliferation
contig218297	signal transduction
contig187126_159849	other metabolic processes
contig203756	transport
contig92057	other biological processes
contig218317	transport
contig106027	protein metabolism
contig118241	stress response
contig22614	DNA metabolism
contig113635	developmental processes
contig115892	RNA metabolism
contig171660	signal transduction
contig147913	cell organization and biogenesis
contig182252	cell organization and biogenesis
contig169636_213022	other metabolic processes
contig99478	protein metabolism
contig68351_105576	cell cycle and proliferation
contig113414_107098	other biological processes
contig145012	cell organization and biogenesis
contig186126	RNA metabolism
contig149792	other biological processes
contig169780_165255_158620	other metabolic processes
contig17128_66205	other biological processes
contig148663	transport
contig145504	protein metabolism
contig147070_192724_108227	signal transduction
contig179651	stress response
contig146806	other biological processes
contig76011_11502	cell organization and biogenesis
contig151008_216657_155008	developmental processes
contig13063	stress response
contig80386	cell adhesion
contig70859_157889	stress response
contig178965	signal transduction
contig71923	death
contig153444_111530_98980	other metabolic processes
contig81124	protein metabolism
contig153213	transport
contig12720	cell organization and biogenesis
contig171533	cell organization and biogenesis
contig153538	cell-cell signaling
contig147732_115901	other biological processes
contig18178	signal transduction
contig110044_115785_154145_78835_126104_71560_93535	other biological processes
contig201161	cell adhesion
contig209760	protein metabolism
contig113531_48719_93676	protein metabolism
contig138515	protein metabolism
contig205037	other metabolic processes
contig97571_181998_117161_70589_140733	DNA metabolism
contig187700	cell organization and biogenesis
contig20670_91150_116359	cell organization and biogenesis
contig148568	other metabolic processes
contig20364_160287	other metabolic processes
contig17377	other metabolic processes
contig139889	protein metabolism
contig137462_70693	transport
contig176655	other biological processes
contig171318	stress response
contig152471_189632_99286_113725_72863	signal transduction
contig108569_211830_208029	developmental processes
contig202505	RNA metabolism
contig211387	other metabolic processes
contig69983	other biological processes
contig204778_194233	stress response
contig177719	other biological processes
contig174510	other metabolic processes
contig213819_212489	RNA metabolism
contig21411	other biological processes
contig195213	transport
contig112796	transport
contig151232	cell organization and biogenesis
contig103289_182864	transport
contig80453	signal transduction
contig150474	transport
contig153516_199493_100246_170823	cell organization and biogenesis
contig195563	developmental processes
contig107510	other biological processes
contig82762	stress response
contig147578_154493	other metabolic processes
contig87059	transport
contig209053	other biological processes
contig171095	other biological processes
contig147987	developmental processes
contig82448	transport
contig129966	death
contig151430	protein metabolism
contig200282	transport
contig75402	DNA metabolism
contig98816_47835_57099	other biological processes
contig104420	cell organization and biogenesis
contig78358	other biological processes
contig205787	cell organization and biogenesis
contig165265_212355	DNA metabolism
contig145357	developmental processes
contig10291	transport
contig151701_213390	developmental processes
contig145274_15631_72475	other biological processes
contig137464	death
contig178549	other metabolic processes
contig111431	RNA metabolism
contig181629	protein metabolism
contig106178_21142	transport
contig132004_157690	other metabolic processes
contig146178	cell organization and biogenesis
contig98978	protein metabolism
contig106576	other metabolic processes
contig72306	transport
contig75219	other metabolic processes
contig80059	other biological processes
contig23719	other biological processes
contig112931	cell organization and biogenesis
contig82201	cell organization and biogenesis
contig210683_175787	other metabolic processes
contig174357	RNA metabolism
contig71205_211873	developmental processes
contig176526_54354	protein metabolism
contig96562	other biological processes
contig147632	developmental processes
contig93276_12220	stress response
contig184203	other biological processes
contig111558	cell organization and biogenesis
contig193290	transport
contig174621	stress response
contig115778	other metabolic processes
contig192352	transport
contig120168	DNA metabolism
contig104578	other metabolic processes
contig148439	other metabolic processes
contig202542_140588_211063_219784_131317_150042_150849	other metabolic processes
contig107153	other metabolic processes
contig14618	stress response
contig107141_208405_170158	protein metabolism
contig70955	protein metabolism
contig219229_106934	other biological processes
contig58350	developmental processes
contig178733	transport
contig213069	other metabolic processes
contig139118	other biological processes
contig145752	RNA metabolism
contig74468	RNA metabolism
contig171446_125937	other biological processes
contig78938	cell-cell signaling
contig3793	DNA metabolism
contig193297	cell organization and biogenesis
contig115716	other biological processes
contig111648	protein metabolism
contig175616	cell organization and biogenesis
contig81990	DNA metabolism
contig202072	protein metabolism
contig182201	RNA metabolism
contig209568	cell organization and biogenesis
contig177359	cell adhesion
contig71846	developmental processes
contig170881	other metabolic processes
contig167873	RNA metabolism
contig171518	other biological processes
contig104816_24210_191667	signal transduction
contig154718	signal transduction
contig8975	protein metabolism
contig16663	other metabolic processes
contig7309	stress response
contig76636	developmental processes
contig100357	RNA metabolism
contig74155	cell adhesion
contig145219	cell organization and biogenesis
contig5116_205953_205189_112171_176957	protein metabolism
contig68038	other metabolic processes
contig152968	cell adhesion
contig154309	other metabolic processes
contig76940	death
contig176668	other metabolic processes
contig92959_112997	RNA metabolism
contig22386_175886	stress response
contig104572	protein metabolism
contig172208	DNA metabolism
contig182201	stress response
contig70496_68900	other biological processes
contig13749	other metabolic processes
contig151550	death
contig77070	protein metabolism
contig79297	other biological processes
contig201773_181778_75666	other biological processes
contig209762	DNA metabolism
contig150062_178043	signal transduction
contig145457	RNA metabolism
contig139772	other metabolic processes
contig52948_182462	developmental processes
contig78515	cell organization and biogenesis
contig176722	transport
contig195391	RNA metabolism
contig119323	DNA metabolism
contig112834	protein metabolism
contig187700	developmental processes
contig178121	other biological processes
contig71593	cell organization and biogenesis
contig213644_132168	transport
contig147887	DNA metabolism
contig106382	RNA metabolism
contig115244	developmental processes
contig180931_71976_169369_69037	transport
contig147865	developmental processes
contig172727	signal transduction
contig70644	protein metabolism
contig26153	transport
contig181121	other metabolic processes
contig158223	cell cycle and proliferation
contig124782	RNA metabolism
contig105396	other biological processes
contig108861	other biological processes
contig211524	protein metabolism
contig600189	other biological processes
contig153348	cell adhesion
contig79851_6457_68563_69741	other biological processes
contig181507_171509	transport
contig204206	cell organization and biogenesis
contig204916	other biological processes
contig140806	transport
contig20955_170818_93789	other metabolic processes
contig75581	other metabolic processes
contig137590	transport
contig186291_70748	protein metabolism
contig148557	cell organization and biogenesis
contig178465_186930	transport
contig207907	other metabolic processes
contig152225	transport
contig97794_175986_93895	other biological processes
contig143625	other biological processes
contig52948_182462	cell organization and biogenesis
contig160195	stress response
contig155057	other metabolic processes
contig23787	transport
contig113638	other biological processes
contig178443	other metabolic processes
contig145830_152934_69049_75651	other metabolic processes
contig146422	other metabolic processes
contig155836	signal transduction
contig205297_113788_138980	developmental processes
contig65793	RNA metabolism
contig117271_117561_105039_176372	other biological processes
contig207078_200093_134091_133461_219640	other metabolic processes
contig173095	other biological processes
contig145441	developmental processes
contig119343_177954	transport
contig14194	other biological processes
contig191026	transport
contig7967	cell cycle and proliferation
contig118951_51767_105980	other biological processes
contig72230	RNA metabolism
contig93974_207345	transport
contig208111_150953	RNA metabolism
contig218581	other biological processes
contig137367	death
contig194416	cell organization and biogenesis
contig119083	other metabolic processes
contig209497	signal transduction
contig20560_75497_77159_157449_153078_2686_1982_70929_195032_146807_138143	transport
contig76761	RNA metabolism
contig108579	protein metabolism
contig116088	other biological processes
contig178144	other metabolic processes
contig152841	stress response
contig52941	RNA metabolism
contig22118_193399_68418_31068_72934_122082_115522_182927_186835	stress response
contig151990	stress response
contig171729	other metabolic processes
contig70222	other biological processes
contig176925_48217_115002	cell organization and biogenesis
contig179129	cell cycle and proliferation
contig80259_147494	other metabolic processes
contig82253_131725	stress response
contig130636	RNA metabolism
contig105972	stress response
contig152253	cell adhesion
contig93655	RNA metabolism
contig109856	developmental processes
contig195749	transport
contig109078	developmental processes
contig110009	other biological processes
contig205188	developmental processes
contig10688	signal transduction
contig106276_194126	cell organization and biogenesis
contig196591	cell organization and biogenesis
contig111803	signal transduction
contig119834	cell organization and biogenesis
contig112656	protein metabolism
contig163002	other biological processes
contig168814	other biological processes
contig97401	other biological processes
contig23359	other biological processes
contig99610	other metabolic processes
contig192845	other biological processes
contig176014	cell-cell signaling
contig70104	cell cycle and proliferation
contig149662_117616_148448	RNA metabolism
contig160384	protein metabolism
contig159199_211308	signal transduction
contig74384	protein metabolism
contig180388_147944_169768	stress response
contig209855_106161	transport
contig205806_114568	protein metabolism
contig160143	transport
contig160402_178588_169464_82650	death
contig148561	other biological processes
contig16460	transport
contig212452	cell organization and biogenesis
contig153212	protein metabolism
contig178360	cell organization and biogenesis
contig149144_8467	other metabolic processes
contig14845	cell adhesion
contig187001	other metabolic processes
contig148909	other biological processes
contig79121	RNA metabolism
contig81805_118552_140734	cell adhesion
contig896	signal transduction
contig112284	other biological processes
contig169778_99002_167662_114077_192994_107299	cell organization and biogenesis
contig212121_178489	stress response
contig75493	cell cycle and proliferation
contig105203	RNA metabolism
contig99611_146378	other biological processes
contig144754	RNA metabolism
contig174488	other biological processes
contig75796	other biological processes
contig148099	protein metabolism
contig13029	transport
contig150784	cell-cell signaling
contig174703	DNA metabolism
contig172028	cell cycle and proliferation
